,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
12238,570255201069899776,negative,1.0,Late Flight,0.6685,American,,StrongerOrgs,,0,americanair ca unload flight jetway broken step planb waiting nearly hour,,2015-02-24 08:13:29 -0800,Texas,Central Time (US & Canada)
3881,568056439291256832,neutral,0.6567,,0.0,United,,javadogs,,0,united get name dallas flight chicago,,2015-02-18 06:36:23 -0800,,
7698,569341641200439296,negative,1.0,Late Flight,1.0,Delta,,dgruber1700,,0,jetblue get honest update departure flite plane infant child,,2015-02-21 19:43:19 -0800,,
304,568812046747201537,negative,1.0,Lost Luggage,1.0,Virgin America,,snellbell,,1,virginamerica lost luggage day ago flight vx lax iad amp calling every day give back stuff,,2015-02-20 08:38:54 -0800,,Quito
14593,569594026732740609,negative,1.0,Customer Service Issue,0.6275,American,,TomGasparetti,,0,americanair ahhhh silence golden top anyone get fired,,2015-02-22 12:26:13 -0800,,
902,570023071698055168,negative,0.6774,Bad Flight,0.3441,United,,nbhdsheila,,0,united landed boston last night hour traveling rough tho,,2015-02-23 16:51:05 -0800,Boston,Eastern Time (US & Canada)
11740,567784773780013057,positive,0.6507,,,US Airways,,Champa24,,0,usairways nice touch using first name intimate filing claim soon reimbursed u airway day,,2015-02-17 12:36:53 -0800,,
907,570021075355963392,negative,0.6803,Customer Service Issue,0.6803,United,,bartha75,,0,united also mere fact go online issue statement vice calling talking directly one good example,"[0.0, 0.0]",2015-02-23 16:43:09 -0800,san diego,
8018,568864286266814465,positive,1.0,,,Delta,,KaylaRose__,,0,jetblue thank,,2015-02-20 12:06:29 -0800,,Eastern Time (US & Canada)
11682,567820647465803776,negative,1.0,Late Flight,1.0,US Airways,,shipge,,0,usairways u gate open min waiting great way finish hour delayed arrival,,2015-02-17 14:59:26 -0800,Chicago,Central Time (US & Canada)
8727,567897030934269952,neutral,1.0,,,Delta,,mypumpkinheads,,0,jetblue flight ewr fll,,2015-02-17 20:02:57 -0800,,Eastern Time (US & Canada)
6699,567729416231321600,negative,1.0,Customer Service Issue,1.0,Southwest,,laurenaddell,,0,southwestair hold customer service hour help,,2015-02-17 08:56:55 -0800,"New York, New York",Eastern Time (US & Canada)
2286,569275566077165568,neutral,1.0,,,United,,SallyM0nster,,0,united hey missed outbound flight still use return ticket,,2015-02-21 15:20:46 -0800,Muswell Hill,London
7664,569380376709238784,neutral,1.0,,,Delta,,JustinRosentha,,0,jetblue alright hope jetblue app showing change seat online show want surprise,,2015-02-21 22:17:15 -0800,New York,
4454,570246490473566208,negative,0.6458,Customer Service Issue,0.6458,Southwest,,NecroticDoctor,,0,southwestair way receive refund trip cancelled flight online instead calling phone line super busy,,2015-02-24 07:38:52 -0800,Trapped in Baltimore.,Atlantic Time (Canada)
3702,568179591480811521,negative,0.6598,Flight Attendant Complaints,0.3608,United,,AlexSenchak,,0,united thanks make sense annoying ca determined better,,2015-02-18 14:45:45 -0800,"Boston, MA ",Atlantic Time (Canada)
9571,569870442388983808,negative,1.0,Customer Service Issue,0.6902,US Airways,,ashwatson3,,0,usairways would rather plane get exposed nasty contagious virus work wth get flight changed late flightr date,,2015-02-23 06:44:35 -0800,,
12924,569978315072610304,neutral,1.0,,,American,,DigitalEdMom,,0,americanair landed lit,,2015-02-23 13:53:14 -0800,Wisconsin,Central Time (US & Canada)
6592,567765690589790208,negative,1.0,Flight Attendant Complaints,0.3511,Southwest,,clarelanusse,,0,southwestair gate agent impossible itinerary find new airline get u home super bummed,,2015-02-17 11:21:03 -0800,,Pacific Time (US & Canada)
8366,568437189694111744,negative,0.6513,Bad Flight,0.3288,Delta,,Tostie,,0,jetblue apparently pilot made announcement engine trouble losing fuel quickly,,2015-02-19 07:49:21 -0800,"Waltham, MA",Eastern Time (US & Canada)
387,568382154071089154,neutral,0.6811,,,Virgin America,,stevengcpa,,0,virginamerica brilliant brisk boston cue http,,2015-02-19 04:10:40 -0800,California,Pacific Time (US & Canada)
13487,569850912451072000,negative,1.0,Customer Service Issue,0.7225,American,,whyemes,,0,americanair stiiiil waiting please respond flight leaf hr,,2015-02-23 05:26:59 -0800,,
4830,569691767953436674,negative,1.0,Customer Service Issue,1.0,Southwest,,GabiLieberman,,0,southwestair need cancelled flight one leg flight ca seem online hold phone minute help,,2015-02-22 18:54:36 -0800,Chicago by way of California,Central Time (US & Canada)
14445,569615444300185600,negative,1.0,Cancelled Flight,1.0,American,,kat_lilfish,,0,americanair cancelled flight flight send email text call stranded louisville,,2015-02-22 13:51:19 -0800,,
8747,567874858815733761,negative,0.6465,Lost Luggage,0.6465,Delta,,Trufflebaby2,,0,jetblue bag supposedly boston,,2015-02-17 18:34:51 -0800,,
1010,569966909019398144,negative,1.0,Customer Service Issue,1.0,United,,teamcrafty,,0,united customer care email phone rep speak many issue ca placed character,,2015-02-23 13:07:55 -0800,Grand Rapids,Quito
2140,569341769114128386,negative,1.0,Flight Attendant Complaints,0.6666,United,,suntoshi,,0,united lounge tell u pillow grandma one lady open closet see right unitedlies,,2015-02-21 19:43:50 -0800,"Bedford, Nh",Eastern Time (US & Canada)
12633,570081513087369216,negative,1.0,Lost Luggage,1.0,American,,showbiz411,,0,americanair beyond redemption jfk baggage claim look like luggage warehouse,,2015-02-23 20:43:18 -0800,"New York, NY",Eastern Time (US & Canada)
290,568847512372514816,neutral,1.0,,,Virgin America,,crj_lll,,0,virginamerica policy flying surgery,,2015-02-20 10:59:50 -0800,"Las Vegas, NV",Pacific Time (US & Canada)
1491,569699471954587648,negative,1.0,Late Flight,1.0,United,,bricon67,,0,united going min waiting plane vacate gate findanothergate,,2015-02-22 19:25:13 -0800,"ÜT: 33.987103,-118.399024",
13794,569715860241129472,negative,1.0,Lost Luggage,1.0,American,,pet1713,,0,americanair luggage forgot mia,"[30.0555099, -95.165959]",2015-02-22 20:30:20 -0800,Houston TX,Eastern Time (US & Canada)
8077,568807823187976193,positive,0.6667,,,Delta,,SMHillman,,0,jetblue makingloveoutofnothingatall brandloveaffair lax http,,2015-02-20 08:22:07 -0800,"New York, NY",Eastern Time (US & Canada)
4514,570089091276128258,neutral,0.3569,,0.0,Southwest,,LaRoseKayla,,1,southwestair assigned seating cousin amp probably ca sit together flight tomorrow thanks,,2015-02-23 21:13:25 -0800,,
11142,568482412990218241,negative,0.6667,Customer Service Issue,0.6667,US Airways,,EmmaTyrer,,0,usairways flight cost happens fly united problem come u time,,2015-02-19 10:49:03 -0800,"Liverpool, UK",London
10646,569016065600008193,negative,1.0,Late Flight,1.0,US Airways,,scottydont11,,0,usairways u lose flight plan ur flight crew faa timed thx havin u sit tarmac hr pathetic,,2015-02-20 22:09:36 -0800,"El Paso, TX",Mountain Time (US & Canada)
1562,569664849522925569,negative,1.0,Flight Booking Problems,0.3709,United,,unusualcards,,0,united given,,2015-02-22 17:07:38 -0800,"Portland, OR",
14003,569678620878376960,negative,1.0,Customer Service Issue,1.0,American,,NickLeghorn,,0,americanair fyi twice tried call someone free thing time called picked hung,,2015-02-22 18:02:21 -0800,"San Antonio, TX",
13348,569884462051418112,negative,1.0,Can't Tell,0.6887,American,,61jr,,0,americanair mean flight going buffalo location care safety,,2015-02-23 07:40:18 -0800,St. Catharines,
2020,569471541554978817,negative,1.0,Cancelled Flight,0.6665,United,,SagiRoi,,0,united biz trvl con flt next one missed food voucher hotel chkout flt wifi hotel,,2015-02-22 04:19:30 -0800,,
14477,569609590171676675,negative,1.0,Lost Luggage,1.0,American,,TheLoveBite,,0,americanair hour baggage carousel still luggage nail coffin,,2015-02-22 13:28:03 -0800,"Los Angeles, CA",Pacific Time (US & Canada)
12134,570279653337927680,positive,1.0,,,American,,sundialtours,,0,americanair airport snow removal method keep good work folk cessna become http,,2015-02-24 09:50:39 -0800,"Astoria, OR",Tijuana
4896,569667324879511552,positive,0.6596,,,Southwest,,CommDocPA,,0,southwestair would brighter star combined red carpet tonight,,2015-02-22 17:17:28 -0800,,Eastern Time (US & Canada)
11161,568472185993629696,negative,1.0,Customer Service Issue,0.6186,US Airways,,eromolizzy,,0,usairways called resolve dividend mile issue week avail please advise asap,"[40.74609464, -74.00636235]",2015-02-19 10:08:25 -0800,"County of Kings, NYC",Eastern Time (US & Canada)
7810,569233554242080768,negative,1.0,Customer Service Issue,0.6664,Delta,,beachluvr104,,0,jetblue standing cell announcement info thismosaicnothappy,,2015-02-21 12:33:49 -0800,,Atlantic Time (Canada)
9620,569815061440679937,negative,1.0,Customer Service Issue,0.6322,US Airways,,patrickcota5,,0,usairways employee responsible social medium content yes u probably care however action last night say otherwise,,2015-02-23 03:04:31 -0800,,
11257,568273310347165696,positive,0.6802,,,US Airways,,CaraModisett,,0,usairways,,2015-02-18 20:58:09 -0800,"Memphis, Tennessee",Central Time (US & Canada)
13982,569682062787149824,neutral,0.6274,,0.0,American,,jameswester,,0,americanair gold status,,2015-02-22 18:16:02 -0800,DFW,Central Time (US & Canada)
14080,569670147893383168,negative,1.0,Customer Service Issue,1.0,American,,BobTheBruin,,0,americanair trying call day get hung every time guy horrible,,2015-02-22 17:28:41 -0800,,
5528,568923827788505088,negative,1.0,Late Flight,1.0,Southwest,,bodoughty,,0,southwestair go delayed chicago offer flight never intend fly,,2015-02-20 16:03:05 -0800,,
5903,568495601471647745,neutral,1.0,,,Southwest,,ravulapati,,0,southwestair,,2015-02-19 11:41:28 -0800,"Round Rock, TX",Hawaii
3013,568800389903962112,negative,1.0,Cancelled Flight,0.3467,United,,Azraellius,,0,united haha clean plane held overnight hangar sound lovely also lie screensand say weather,,2015-02-20 07:52:35 -0800,"Orlando, FL",Eastern Time (US & Canada)
4963,569602278988120064,negative,1.0,Customer Service Issue,0.6701,Southwest,,mrpearson3rd,,0,southwestair trying find airfare family price ridiculous almost usairways notmadeofmoney,,2015-02-22 12:59:00 -0800,,
13616,569799053690556418,neutral,0.6564,,0.0,American,,flemmingerin,,0,americanair could let know staying tonight booked anything would great go,,2015-02-23 02:00:55 -0800,San Diego,
7313,569672448716742656,neutral,0.6713,,0.0,Delta,,Tee_peterson,,0,jetblue shannonwoodward checking often probably hand oscar nerd geek badly dressed,,2015-02-22 17:37:50 -0800,Canadian planted in USA,
3571,568261172610220033,negative,1.0,Customer Service Issue,0.6526,United,,Atrain_8,,2,united illegal breach contract touch customer feedback,,2015-02-18 20:09:55 -0800,,
2157,569336402401472512,negative,0.6988,Cancelled Flight,0.3695,United,,Colettod,,0,united wife two new destination stuck dc monday bag,,2015-02-21 19:22:30 -0800,"Ottawa, ON",Eastern Time (US & Canada)
10126,569528105557053442,negative,1.0,Customer Service Issue,0.7013,US Airways,,smw04,,0,usairways msscottwg unusual mean screwed never admit goingforgreatnessfail,,2015-02-22 08:04:16 -0800,,Atlantic Time (Canada)
6417,567871270014025728,negative,1.0,Late Flight,0.6502,Southwest,,Lionheart_Lisa,,0,southwestair wo let leave newark,,2015-02-17 18:20:35 -0800,Hanging with Carmen Sandiego.,Central Time (US & Canada)
13839,569704164743376896,negative,0.6945,Customer Service Issue,0.6945,American,,joerago,,0,americanair yes able get push notification via app logged trip,,2015-02-22 19:43:52 -0800,"Chicago, IL",Central Time (US & Canada)
4292,567731485894270977,negative,1.0,Late Flight,0.6806,United,,applecor2,,0,united sat airport hr still sitting gate sigh,,2015-02-17 09:05:08 -0800,,Mountain Time (US & Canada)
4665,569951879825907713,positive,1.0,,,Southwest,,AnnCompton,,1,southwestair terry hero got husband back thru security retrieve cellphone left plane austin terry u rock,,2015-02-23 12:08:12 -0800,WashingtonDC,Eastern Time (US & Canada)
13828,569706873525391360,negative,1.0,Late Flight,0.7059,American,,monumentsinking,,0,americanair flight delayed flight sold seat flight strand phx three hour thanks memory,,2015-02-22 19:54:37 -0800,PDX JFK SFO BDL,Pacific Time (US & Canada)
169,569459618881019905,neutral,1.0,,,Virgin America,,NewsSWA,,0,virginamerica jump market http,,2015-02-22 03:32:07 -0800,FL410,Sydney
10892,568796187299606528,negative,0.6927,Customer Service Issue,0.6927,US Airways,,mjmena001,,0,usairways fly quite bit difficult communicate agent let people know happening arrangement made,,2015-02-20 07:35:53 -0800,West Palm,
14380,569623961224351744,neutral,1.0,,,American,,TejasGooner,,0,americanair message delayed responded,,2015-02-22 14:25:10 -0800,The Republic of Texas,Central Time (US & Canada)
14435,569616362223628289,negative,1.0,Customer Service Issue,0.6920000000000001,American,,BridleCharlotte,,0,americanair complete cop u ask issue nothing supposed sort situation,,2015-02-22 13:54:58 -0800,,
6321,568056050877919232,negative,1.0,Customer Service Issue,0.6759,Southwest,,luvthispayne,,0,southwestair experience worse flying experience ever met contempt customer service make worse,,2015-02-18 06:34:51 -0800,Somewhere over the rainbow.,Atlantic Time (Canada)
7900,569036471232892929,positive,0.6742,,,Delta,,traciglee,,0,jetblue smf jfk,,2015-02-20 23:30:41 -0800,"New York, NY",Eastern Time (US & Canada)
7890,569091378438746112,positive,0.6394,,,Delta,,mutantgatto,,0,jetblue word thanks,,2015-02-21 03:08:52 -0800,ravioli,Eastern Time (US & Canada)
1623,569641686101585921,neutral,1.0,,,United,,rikrik__,,0,united made come help anything free ticket convince,,2015-02-22 15:35:36 -0800,Saint Louis,Central Time (US & Canada)
1889,569532310716080129,negative,1.0,Late Flight,1.0,United,,ajbohman,,0,united guy horrible first get stuck snow hr ewr sitting cmh saying could gate,,2015-02-22 08:20:58 -0800,Irving Texas,
3468,568417151176060929,negative,1.0,Cancelled Flight,0.6863,United,,Brennej,,0,united vacation day relevant ritz pr night losing day idiot sleeping newark ramada priceless,,2015-02-19 06:29:44 -0800,,
4947,569615736387325952,negative,1.0,Bad Flight,0.3487,Southwest,,Ekanewilliams,,0,southwestair baggage delivery bwi delayed unnecessarily chaotic disappointing long trip frequent traveler,,2015-02-22 13:52:29 -0800,"Washington, DC",
8496,568206634758983681,negative,1.0,Can't Tell,1.0,Delta,,Alealmrivas,,0,jetblue u suck big donkey ball,,2015-02-18 16:33:13 -0800,Dominican Republic,Mountain Time (US & Canada)
8539,568178422175948801,positive,1.0,,,Delta,,TranmereStu,,0,jetblue flew san francisco fort lauderdale last year fantastic time would like go back,,2015-02-18 14:41:06 -0800,Wirral England,
2337,569256055781240832,negative,0.3402,Customer Service Issue,0.3402,United,,kenzieellis,,0,united please take membership away,,2015-02-21 14:03:14 -0800,,Eastern Time (US & Canada)
5426,569086048388538368,negative,1.0,Customer Service Issue,0.6566,Southwest,,jsanner2,,0,southwestair plan implement system reflight booking problem line hold hour,,2015-02-21 02:47:41 -0800,,
11266,568257392195936259,neutral,0.6421,,,US Airways,,tmiw,,0,usairways plan support applepay board usairways mc would nice still use forget card,,2015-02-18 19:54:54 -0800,"San Diego, CA",Pacific Time (US & Canada)
1769,569592626300751873,neutral,1.0,,,United,,AbbieBjugstad,,0,united bereavement discount airfare grandfather passed need attend funeral week,,2015-02-22 12:20:39 -0800,,
1766,569595245945597952,negative,1.0,Customer Service Issue,0.6715,United,,danielbyrnes,,1,united trying check tomorrow flight website keep timing,,2015-02-22 12:31:03 -0800,QCϟDC,Central Time (US & Canada)
9119,570206113783795713,negative,1.0,Late Flight,1.0,US Airways,,peterbarth,,0,usairways pretty sure actually take http,,2015-02-24 04:58:26 -0800,"Greenville, SC",Eastern Time (US & Canada)
6877,570068045500194816,neutral,0.6372,,0.0,Delta,,djcheros,,0,jetblue try harder take winner attitude work,,2015-02-23 19:49:48 -0800,"Portland, Maine",Eastern Time (US & Canada)
3025,568793043664560128,negative,1.0,Flight Booking Problems,0.6733,United,,Amybabic,,0,united time row charged plane ticket united check cc everytime,,2015-02-20 07:23:23 -0800,"New York, Ny",
5614,568859651980156928,negative,0.6632,Can't Tell,0.3368,Southwest,,JustinMeyerKC,,0,includes kciairport southwestair inclement weather may impact scheduled service reflight booking problem option available http,,2015-02-20 11:48:04 -0800,"Kansas City, MO",Eastern Time (US & Canada)
11903,570302358242115584,positive,0.7047,,,American,,JohnMHaaland,,0,americanair thanks,,2015-02-24 11:20:52 -0800,New York Tri-State,Eastern Time (US & Canada)
9975,569596034059358208,negative,1.0,Lost Luggage,1.0,US Airways,,sejaffe,,0,usairways claudoakeshott need link getting person u say u know bag lost nonstop phx jfk,,2015-02-22 12:34:11 -0800,,
9263,570017568964132865,negative,0.6307,Can't Tell,0.6307,US Airways,,jasemccarty,,0,usairways embarrassing,,2015-02-23 16:29:13 -0800,BTR/DCA/IAD/MSY - etc,Central Time (US & Canada)
1714,569618440396398592,negative,1.0,Can't Tell,0.6492,United,,jtromano,,0,united miss oscar never fly united,,2015-02-22 14:03:13 -0800,STL,Central Time (US & Canada)
13668,569760118591467520,negative,1.0,Bad Flight,0.6787,American,,chigirldc,,0,americanair would like reimbursed shuttle denver diversion hour sitting plane mech problem,,2015-02-22 23:26:12 -0800,,Quito
13303,569893064342437888,negative,1.0,Cancelled Flight,1.0,American,,janetmcq,,0,americanair thanks night involved flight got cancelled flightled started taxiing runway,,2015-02-23 08:14:29 -0800,"Memphis, TN",Central Time (US & Canada)
608,570252666439385088,negative,1.0,Late Flight,1.0,United,,RaquelSnyderDC,,0,united going ua outbound flight last thurs delayed long delay,,2015-02-24 08:03:25 -0800,"Washington, D.C. Metro Area",Eastern Time (US & Canada)
732,570115243747074048,neutral,1.0,,,United,,xRaeCatherine,,0,united would like know going current flight land,,2015-02-23 22:57:20 -0800,,
5524,568925711077117953,neutral,1.0,,,Southwest,,fair_island,,0,southwestair current thank,,2015-02-20 16:10:34 -0800,Somewhere in Tennessee,Quito
13793,569715908664430593,neutral,1.0,,,American,,TheByronCraig,,0,americanair flight dallas tuesday going cancelled flightled correct,,2015-02-22 20:30:32 -0800,Dallas | Los Angeles,Central Time (US & Canada)
5762,568630779720417280,neutral,1.0,,,Southwest,,HolguinAndy,,0,southwestair sweet promo code help visit family please lol,"[35.0557688, -78.9702049]",2015-02-19 20:38:37 -0800,,
